5, 193, 200, 16757.4, 7571.72, 42.2122, 0, 1159.08, 592.7, 182.1, 683.736, 16514, 7434.7
5, 194, 200, 8537.59, 9088.83, 95.9058, 0, 728.098, 1269.87, 420.891, 1400.78, 8261.53, 8495.62
5, 195, 200, 7525.11, 8040.81, 160.702, 5.57902, 687.488, 957.673, 488.64, 1096.81, 7229.74, 7575.22
5, 196, 200, 9104.33, 7738.45, 94.9271, 4.22148, 758.274, 1176.26, 340.667, 904.688, 8803.96, 7375.26
5, 197, 200, 9813.65, 7513.61, 140.601, 0, 563.8, 851.535, 385.666, 751.465, 9710.76, 7252.2
5, 198, 200, 6633.09, 8161.43, 48.7176, 0, 429.627, 722.644, 211.974, 655.967, 6485.91, 7985.25
5, 199, 200, 7899.02, 6543.47, 23.7413, 0, 371.365, 1088.75, 515.527, 827.659, 7752.87, 6229.49
6, 200, 200, 8806.97, 8784.26, 242.277, 0, 952.089, 1410.39, 515.471, 960.6, 8614.24, 8367.19
6, 201, 200, 4521.87, 7700.59, 93.7534, 11.4433, 503.465, 1262.08, 540.487, 897.68, 4311.23, 7313.17
6, 202, 200, 5233.29, 5864.02, 62.6077, 0, 404.927, 1094.41, 498.07, 832.067, 5092.01, 5546.57
6, 203, 200, 8673.17, 7728.62, 0, 0, 264.594, 844.092, 514.093, 567.536, 8608.1, 7458.72
6, 204, 200, 1800.43, 6252.82, 0, 0, 596.851, 1702.89, 0, 1328.82, 1665.51, 5588.12
6, 205, 200, 5948.97, 6749.16, 0, 0, 463.739, 1203.96, 186.746, 1001.53, 5858.34, 6359.83
6, 206, 200, 2837.41, 7166.82, 47.6644, 0, 646.017, 695.802, 557.76, 717.153, 2552.66, 7008.32
6, 207, 200, 3216.03, 6884.12, 15.4119, 4.6754, 289.148, 812.249, 294.181, 535.737, 3086.95, 6738.74
6, 208, 200, 4827.39, 6639.45, 0, 0, 163.641, 1240.77, 335.523, 775.48, 4763.1, 6276.12
6, 209, 200, 6303.88, 6841.96, 72.0875, 0, 599.571, 1259.14, 456.952, 1145.46, 6188.01, 6398.54
6, 210, 200, 1144.44, 7092.46, 10.1119, 9.1086, 431.759, 747.541, 172.924, 617.6, 971.811, 6933.53
6, 211, 200, 4247.75, 6861.21, 32.4649, 0, 466.204, 880.664, 235.247, 522.14, 4145.85, 6640.69
6, 212, 200, 2228.9, 6895.93, 55.4157, 11.9048, 237.468, 914.427, 277.009, 642.707, 2073.52, 6593.4
6, 213, 200, 4252.47, 6222.32, 23.6502, 0, 392.382, 887.304, 257.306, 744.249, 4042.38, 5983.17
6, 214, 200, 3358.52, 6157.97, 51.6268, 0, 309.631, 1461.99, 157.15, 1203.78, 3183.86, 5480.21
6, 215, 200, 5191.32, 5978.13, 62.5, 0, 157.672, 1481.89, 334.21, 1392.57, 5151.75, 5266.16
6, 216, 200, 9451.12, 6955.04, 0, 5.44295, 0, 656.35, 727.391, 700.012, 9378.39, 6787.46
6, 217, 200, 4228.09, 6335.12, 110.562, 0, 542.457, 1031.16, 673.516, 781.938, 3903.08, 6046.54
6, 218, 200, 3119.54, 7106.88, 33.9476, 0, 224.361, 676.684, 391.161, 671.046, 2990.03, 6953.52
6, 219, 200, 3362.61, 6910.28, 48.1343, 0, 325.898, 687.273, 261.005, 559.23, 3244.98, 6782.38
6, 220, 200, 5015.95, 7183.98, 63.7575, 0, 353.687, 1107.61, 330.548, 812.113, 4911.4, 6845.46
6, 221, 200, 3982.91, 6637.55, 44.7107, 0, 212.056, 1772.44, 362.918, 1656.61, 3913.27, 5698.18
6, 222, 200, 2682.7, 6502.29, 13.8562, 0, 248.515, 965.744, 241.191, 648.1, 2611.15, 6290.76
6, 223, 200, 2694.94, 6469.17, 0, 0, 166.42, 1205.35, 78.3025, 1188.76, 2668.71, 5902.86
6, 224, 200, 3811.94, 5984.22, 32.449, 15.7209, 199.58, 940.914, 334.738, 914.548, 3750.12, 5678.48
6, 225, 200, 2721.24, 6670.83, 47.9253, 0, 321.136, 874.77, 240.166, 664.129, 2651.38, 6474.61
6, 226, 200, 7471.34, 6127.46, 0, 9.61538, 884.245, 1018.06, 0, 703.4, 7378.51, 5847.77
6, 227, 200, 4611.83, 6707.13, 0, 0, 0, 766.749, 470.99, 442.631, 4571.87, 6563.76
6, 228, 200, 794.319, 6140.53, 0, 0, 302.229, 932.331, 252.062, 810.144, 674.567, 5833.11
6, 229, 200, 2826.04, 7515.22, 26.8188, 0, 326.052, 537.427, 289.521, 333.652, 2666.61, 7447.76
6, 230, 200, 4672.2, 6693.65, 0, 4.99784, 386.884, 1119.05, 138.572, 813.177, 4569.66, 6342.39
6, 231, 200, 817.384, 6793.15, 45.4146, 0, 323.982, 595.138, 541.725, 381.423, 496.025, 6702.68
6, 232, 200, 2572.97, 6911.5, 30.9861, 0, 254.76, 622.028, 256.636, 546.436, 2485.85, 6792.64
6, 233, 200, 3146.44, 5792.37, 34.6364, 0, 283.611, 1535.96, 363.622, 1438.26, 3042.91, 5041.1
6, 234, 200, 5138.16, 6569.72, 50.5256, 3.88225, 264.108, 1272.47, 440.719, 1197.88, 5030.78, 6114.77
6, 235, 200, 2703.17, 6970.62, 33.8871, 5.13013, 269.449, 1092.22, 169.433, 694.346, 2659.56, 6651.43
6, 236, 200, 2680.33, 6971.25, 24.4301, 0, 235.231, 698.115, 187.959, 482.756, 2633.13, 6865.36
6, 237, 200, 2383.47, 6239.72, 0, 0, 285.25, 711.617, 0, 525.138, 2347.5, 6084.67
6, 238, 200, 2445.63, 5954.4, 0, 0, 511.117, 1431.36, 0, 1220.87, 2360, 5322.64
6, 239, 200, 3191.58, 6544.09, 0, 7.6952, 0, 512.736, 471.624, 429.722, 3140.85, 6461.98
7, 240, 200, 2810, 7241.93, 0, 0, 303.43, 1306.79, 244.027, 1042.18, 2690.84, 6748.35
7, 241, 200, 4373.23, 6565.8, 16.5304, 4.95913, 322.075, 967.93, 338.764, 661.669, 4214.73, 6371.02
7, 242, 200, 4198.95, 6680.47, 27.1758, 0, 300.466, 1196.5, 117.685, 999.932, 4041.17, 6242.91
7, 243, 200, 787.619, 6252.03, 10.3527, 0, 293.759, 896.9, 339.257, 679.92, 609.972, 6024.69
7, 244, 200, 3301.03, 7152.05, 19.8472, 0, 393.046, 976.573, 355.779, 824.407, 3193.17, 6883.8
7, 245, 200, 3470.31, 6057.42, 9.27664, 0, 187.423, 904.958, 296.074, 636.075, 3410.12, 5841.66
7, 246, 200, 2095.11, 6341.05, 45.3354, 5.13013, 284.239, 691.977, 191.355, 560.529, 2009.22, 6206.15
7, 247, 200, 1880.61, 5851.72, 19.7642, 0, 393.066, 1595.67, 331.621, 1246.45, 1734.72, 5179.83
7, 248, 200, 3285.4, 6710.91, 11.5545, 4.02604, 363.702, 962.055, 309.792, 912.827, 3173.35, 6426.91
