7, 259, 200, -nan, 7447.41, -nan, 0, -nan, 0, -nan, 0, -nan, 7447.41
7, 260, 200, -nan, 6551.38, -nan, 0, -nan, 0, -nan, 0, -nan, 6551.38
7, 261, 200, -nan, 6684.13, -nan, 0, -nan, 0, -nan, 0, -nan, 6684.13
7, 262, 200, -nan, 6559, -nan, 0, -nan, 0, -nan, 0, -nan, 6559
7, 263, 200, -nan, 7083.02, -nan, 0, -nan, 0, -nan, 0, -nan, 7083.02
7, 264, 200, -nan, 6397.26, -nan, 0, -nan, 0, -nan, 0, -nan, 6397.26
7, 265, 200, -nan, 6621.94, -nan, 0, -nan, 0, -nan, 0, -nan, 6621.94
7, 266, 200, -nan, 6910.84, -nan, 0, -nan, 0, -nan, 0, -nan, 6910.84
7, 267, 200, -nan, 6454.43, -nan, 0, -nan, 0, -nan, 0, -nan, 6454.43
7, 268, 200, -nan, 6421.15, -nan, 0, -nan, 0, -nan, 0, -nan, 6421.15
7, 269, 200, -nan, 6999.46, -nan, 0, -nan, 0, -nan, 0, -nan, 6999.46
7, 270, 200, -nan, 6807.57, -nan, 0, -nan, 0, -nan, 0, -nan, 6807.57
7, 271, 200, -nan, 7534.43, -nan, 0, -nan, 0, -nan, 0, -nan, 7534.43
7, 272, 200, -nan, 7150.29, -nan, 0, -nan, 0, -nan, 0, -nan, 7150.29
7, 273, 200, 14370.5, 7492.77, 0, 0, 0, 0, 0, 0, 14370.5, 7492.77
7, 274, 200, -nan, 7438.02, -nan, 0, -nan, 0, -nan, 0, -nan, 7438.02
7, 275, 200, 13579, 6993.31, 0, 0, 0, 0, 0, 0, 13579, 6993.31
7, 276, 200, 12447.8, 7004.99, 0, 0, 0, 0, 0, 0, 12447.8, 7004.99
7, 277, 200, -nan, 7191.1, -nan, 0, -nan, 0, -nan, 0, -nan, 7191.1
7, 278, 200, -nan, 6941.66, -nan, 0, -nan, 0, -nan, 0, -nan, 6941.66
7, 279, 200, -nan, 6821.21, -nan, 0, -nan, 0, -nan, 0, -nan, 6821.21
8, 280, 200, -nan, 6940.1, -nan, 0, -nan, 0, -nan, 0, -nan, 6940.1
8, 281, 200, -nan, 7367.59, -nan, 0, -nan, 0, -nan, 0, -nan, 7367.59
8, 282, 200, -nan, 6841.51, -nan, 0, -nan, 0, -nan, 0, -nan, 6841.51
8, 283, 200, -nan, 7795.55, -nan, 0, -nan, 0, -nan, 0, -nan, 7795.55
8, 284, 200, -nan, 6871.75, -nan, 0, -nan, 0, -nan, 0, -nan, 6871.75
